text1,text2,label,similarity_score,clean_text1,clean_text2
The quick brown fox jumps over the lazy dog,A fast brown fox leaps over the idle dog,1,0.85,quick brown fox jumps lazy dog,fast brown fox leaps idle dog
Machine learning is a subset of artificial intelligence,Deep learning is a branch of machine learning and AI,1,0.72,machine learning subset artificial intelligence,deep learning branch machine learning ai
Climate change is causing global temperatures to rise significantly,Global warming due to climate change is increasing temperatures worldwide,1,0.88,climate change causing global temperatures rise significantly,global warming due climate change increasing temperatures worldwide
The mitochondria is the powerhouse of the cell,Mitochondria serve as the energy-producing organelles in cells,1,0.8,mitochondria powerhouse cell,mitochondria serve energyproducing organelles cells
Water boils at 100 degrees Celsius at sea level,"At standard atmospheric pressure, water reaches its boiling point at 100°C",1,0.82,water boils 100 degrees celsius sea level,standard atmospheric pressure water reaches boiling point 100°c
Shakespeare wrote Romeo and Juliet in the late 16th century,Romeo and Juliet was authored by William Shakespeare around 1594-1596,1,0.78,shakespeare wrote romeo juliet late 16th century,romeo juliet authored william shakespeare around 15941596
Neural networks are inspired by the structure of the human brain,Artificial neural networks mimic the biological neural structure of human brains,1,0.85,neural networks inspired structure human brain,artificial neural networks mimic biological neural structure human brains
The economy grew by 3.5 percent last quarter,Economic growth reached 3.5% in the previous quarter,1,0.9,economy grew 35 percent last quarter,economic growth reached 35 previous quarter
Photosynthesis converts sunlight into chemical energy in plants,Plants use photosynthesis to transform solar energy into chemical compounds,1,0.83,photosynthesis converts sunlight chemical energy plants,plants use photosynthesis transform solar energy chemical compounds
The Eiffel Tower is located in Paris France,Paris France is home to the famous Eiffel Tower landmark,1,0.87,eiffel tower located paris france,paris france home famous eiffel tower landmark
Albert Einstein developed the theory of relativity,The theory of relativity was formulated by Albert Einstein,1,0.92,albert einstein developed theory relativity,theory relativity formulated albert einstein
Python is a high-level programming language known for its simplicity,Python programming language is valued for its readable and simple syntax,1,0.8,python highlevel programming language known simplicity,python programming language valued readable simple syntax
The human genome contains approximately 3 billion base pairs,About 3 billion base pairs make up the complete human genome,1,0.88,human genome contains approximately billion base pairs,billion base pairs make complete human genome
Gravity pulls objects toward the center of the Earth,Objects are attracted toward Earth's center due to gravitational force,1,0.82,gravity pulls objects toward center earth,objects attracted toward earths center due gravitational force
The Amazon River is the largest river by discharge volume,"By volume of water discharged, the Amazon River surpasses all other rivers",1,0.79,amazon river largest river discharge volume,volume water discharged amazon river surpasses rivers
Vaccination helps the immune system recognize and fight diseases,Vaccines train the immune system to identify and combat pathogens,1,0.81,vaccination helps immune system recognize fight diseases,vaccines train immune system identify combat pathogens
The speed of light in vacuum is approximately 300000 kilometers per second,Light travels through vacuum at nearly 300000 km per second,1,0.91,speed light vacuum approximately 300000 kilometers per second,light travels vacuum nearly 300000 km per second
DNA carries the genetic information of living organisms,The genetic code of living things is stored in DNA molecules,1,0.84,dna carries genetic information living organisms,genetic code living things stored dna molecules
Supply and demand determines the price of goods in markets,Market prices are determined by the forces of supply and demand,1,0.89,supply demand determines price goods markets,market prices determined forces supply demand
The Renaissance was a cultural movement that began in Italy,Italy was the birthplace of the Renaissance cultural and artistic movement,1,0.86,renaissance cultural movement began italy,italy birthplace renaissance cultural artistic movement
Blockchain technology provides a decentralized and secure transaction ledger,A decentralized secure ledger for transactions is the foundation of blockchain technology,1,0.83,blockchain technology provides decentralized secure transaction ledger,decentralized secure ledger transactions foundation blockchain technology
Antibiotics are used to treat bacterial infections,Bacterial infections are commonly treated with antibiotic medications,1,0.88,antibiotics used treat bacterial infections,bacterial infections commonly treated antibiotic medications
The solar system consists of the Sun and eight planets,Eight planets along with the Sun make up our solar system,1,0.9,solar system consists sun eight planets,eight planets along sun make solar system
Exercise improves cardiovascular health and mental wellbeing,Regular physical activity benefits both heart health and mental wellness,1,0.79,exercise improves cardiovascular health mental wellbeing,regular physical activity benefits heart health mental wellness
The Internet has transformed global communication and commerce,Global communication and trade have been revolutionized by the Internet,1,0.85,internet transformed global communication commerce,global communication trade revolutionized internet
